"Original_name"	"Simplified_name"	"LS_mean"	"SO_stolon"	"SO_stolon with tuberous tip"	"SO_stolon with bulbous tip"	"SO_rhizome"	"SO_stolon-like rhizome"	"SO_pleiocorm"	"SO_rhizome-like pleiocorm"	"SO_shoot tuber"	"SO_bulb"	"SO_bulbil"	"SO_turion"	"SO_succulence"	"SO_primary storage root"	"SO_secondary storage root"	"SO_root tuber"	"SO_tuft"	"SO_hypocotyl bulb"	"Sto_organ"	"VP_runner"	"VP_runner with tuberous tip"	"VP_runner-like rhizome"	"VP_runner with bulbous tip"	"VP_bulbil"	"VP_brood shoot"	"VP_questionable"	"VP_fragmentation"	"VP_gemma"	"VP_innovation bud with storage root"	"VP_innovation bud with root tuber"	"VP_phyllogenous shoot"	"VP_rhizome"	"VP_rhizome-like pleiocorm"	"VP_shoot tuber"	"VP_turion"	"VP_root shoot"	"VP_bulb"	"Veg_prop"	"total"
"Abies alba"	"Abies alba"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1515
"Acer campestre"	"Acer campestre"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	935.685
"Acer monspessulanum"	"Acer monspessulanum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1
"Acer opalus"	"Acer opalus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5805
"Acer pseudoplatanus"	"Acer pseudoplatanus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	73.98
"Aconitum napellus"	"Aconitum napellus"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.2301
"Aconitum vulparia subsp neapolitanum"	"Aconitum vulparia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.39
"Adenostyles alliariae"	"Adenostyles alliariae"	0.07	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.775
"Aesculus hippocastanum"	"Aesculus hippocastanum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0.70501465
"Agrimonia eupatoria"	"Agrimonia eupatoria"	0.03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13
