Species	BEA	CAL	GI	ABO1	ABO2	ABO3	ENC1	ANDA	ENC2	SEN1	SEN2	EE01	EE02	EE03	EE04	EE05	EM01	EM02	EM03	EM04	EM05	IE01	IE02	IE03	IE04	IE05	IMA01	IMA02	IMA03	IMA04	IMA05	IMB06	IMB07	IMB08	IMB09	IMB10	IMB11	IMC12	IMC13	IMC14	IMC15	UE01	UE02	UE03	UE04	UE05	ZE01	ZE02	ZE03	ZE04	ZE05	ZM01	ZM02	ZM03	ZM04	ZM05
Abies alba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0.001	0	0	0	0	0	0	0
Acer campestre	18	30	16	84.25	15.5	63	15	50	2.5	30	18.5	39.55	8.25	17.25	16.85	10	2.45	20.15	64.5	6.66	10.5	0.75	6	0.9	0.65	0.23	0.115	6.15	2.325	0.76	30.9	15.45	10.4	0.6	5.25	3.04	3.15	15.505	13.25	15.01	0.38	15.65	8.35	1.55	0.55	25.7	31.1	15	48.15	17.5	5	5	7.225	30.185	17.5	37.5
Acer monspessulanum 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
Acer opalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.1	0.005	0.3	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405	0	0	0	0.05	0	0	0	0	0.05	0
Acer pseudoplatanus 	0	0	0	0	0	0	0	0	0	0	48.5	0	0.005	0.015	0.005	0.001	0.02	0	0	0	0	0	0.005	0.01	0	0	0.0025	2	0	0	0	0	0	5.015	0.9	0	12.0015	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aconitum napellus 	0	0	0	0	0.125	0	0	0.35005	1.25005	1.5	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aconitum vulparia subsp neapolitanum 	0	0	0	0.015	6.775	0	0	8	0.35	0.9	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenostyles alliariae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125	0	0	0	0	0	0	0	0	0	0	0
Aesculus hippocastanum 	0	0	0	0	0	0	0	0	0	0.70501465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrimonia eupatoria	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.05	0.025	0	0	0	0	0	0	0
Agrostis capillaris 	0	0	0	0	0	0	0.54975	0	0	0	0	0	0.007	0	0	0.001	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.06	0	0	0	0.0105	0	0	0
Agrostis stolonifera	0	0	0	0	0.25	0	0	0.0005	0.25	0.75	0.25	0.005	0.0035	0	0	0.015	0	0	0	0	0.525	0	0	0.05	0	0.005	0.3	0.02	0.025	3.75	0	0	0	0	0.015	0	0.6	0	0	0	2	0.005	0	0	0.15	0	0	0.05	0	0	0.05	0	0.3505	0.05	0	0
Ajuga reptans	0.2	0.03	0.04	0.1	0.005	0.2	0.55	0	0.0075	0	0.035	0	0	0	0	0	0	0.005	0	0	0	0.23	0	0.15	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	0.005	0	0.06	0	0.255	0.05	0.401	0	0.05	0.05	0	0	0.05	0
