Code	Total_area
A001	225.786
A002	153.257
A003	198.413
A004	119.753
A005	159.134
A006	134.151
A007	157.711
A008	125.265
A009	52.341
A010	66.459
A011	73.493
A012	82.436
A013	51.383
A014	60.668
A015	36.189
A016	16.86
A017	223.167
A018	26.265
A019	36.538
A020	41.039
A021	59.139
A022	75.205
A023	59.436
A024	69.926
A025	47.523
A026	94.125
A027	48.192
A028	12.242
A029	10.721
A030	52.5
A031	35.729
A032	22.876
A033	43.632
B001	56.824
B002	113.863
B003	93.111
B004	172.754
B005	10.649
B006	12.047
B007	12.014
B008	24.678
B009	20.151
B010	16.924
B011	34.406
B012	53.025
B013	52.361
B014	33.026
B015	19.771
B016	29.16
B017	89.502
B018	66.995
B019	97.767
B020	27.194
B021	19.4
B022	23.889
B023	19.857
B024	51.857
B025	21.482
B026	97.084
B027	211.158
B028	165.06
B029	22.742
B030	10.505
B031	7.574
B032	13.63
B033	7.902
B034	80.958
B035	79.146
B036	39.122
B037	38.523
B038	25.078
B039	64.056
B040	41.095
B041	41.723
B042	22.191
B043	27.201
B044	25.225
B045	25.03
B046	6.645
B047	31.004
B048	40.289
B049	34.603
C001	19.288
C002	46.335
C003	65.635
C004	31.612
C005	125.993
C006	128.421
C007	99.307
C008	7.243
C009	14.974
C010	11.73
C011	19.831
C012	15.46
C013	17.008
C014	33.201
C015	17.385
C016	26.977
C017	21.797
C018	65.261
C019	46.137
C020	33.585
C021	38.955
C022	51.259
C023	18.705
C024	31.149
C025	34.652
C026	45.048
C027	39.706
C028	16.881
C029	24.24
C030	16.092
C031	12.717
C032	12.737
C033	30.106
C034	152.277
C035	186.63
C036	233.949
C037	92.359
C038	104.534
C039	93.896
C040	43.774
C041	36.942
C042	41.459
C043	35.881
C044	57.974
C045	67.34
C046	44.445
C047	33.535
D001	30.711
D002	42.575
D003	34.72
D004	26.106
D005	37.431
D006	42.399
D007	50.843
D008	29.733
D009	17.3
D010	31.608
D011	49.912
D012	36.098
D013	44.553
D014	49.822
D015	73.041
D016	57.63
D017	18.313
D018	21.408
D019	19.586
D020	31.574
D021	152.995
D022	89.851
D023	195.668
D024	212.759
D025	142.133
D026	203.962
D027	213.544
D028	224.61
D029	293.98
D030	307.899
D031	273.365
D032	298.306
D033	258.083
D034	96.563
D035	137.08
D036	155.86
D037	132.274
D038	159.569
D039	133.191
D040	136.699
D041	76.905
D042	24.303
D043	16.901
D044	11.834
D045	28.181
D046	29.504
D047	41.807
D048	26.632
D049	13.592
D050	24.931
D051	19.462
D052	10.572
D053	22.678
D054	23.483
D055	6.824
D056	17.421
D057	5.355
D058	8.313
D059	8.408
D060	6.538
D061	13.174
D062	11.275
D063	12.179
D064	93.043
D065	48.163
D066	78.749
D067	77.727
D068	39.614
D069	43.557
D070	43.391
D071	26.044
D072	30.535
D073	49.528
D074	50.091
D075	51.143
D076	48.762
D077	37.447
D078	221.824
D079	263.589
D080	256.874
E001	63.994
E002	29.855
E003	36.983
E004	39.279
E005	30.131
E006	68.572
E007	99.408
E008	48.344
E009	84.539
E010	123.665
E011	86.764
E012	111.352
E013	120.742
E014	53.694
E015	77.964
E016	50.769
F001	32.113
F002	15.916
F003	12.609
F004	33.727
F005	26.618
F006	24.981
F007	26.726
F008	50.423
F009	35.165
F010	23
F011	21.219
F012	35.604
G001	68.792
G002	79.094
G003	68.672
G004	80.755
G005	52.035
G006	37.331
G007	39.408
G008	41.748
G009	39.576
G010	51.894
G011	21.002
G012	18.757
G013	37.928
G014	37.626
G015	19.655
G016	15.789
G017	28.358
G018	64.21
G019	58.149
G020	56.829
G021	97.92
G022	95.22
G023	86.503
G024	21.726
G025	12.986
G026	9.916
G027	14.562
G028	15.475
G029	10.51
G030	18.399
G031	99.334
G032	78.066
G033	76.543
G034	196.181
G035	159.197
G036	105.682
G037	234.785
G038	131.772
G039	201.263
G040	229.635
G041	206.988
G042	207.517
G043	46.391
G045	99.93
G046	51.352
G047	108.39
G048	38.043
G049	34.364
G050	48.328
G051	26.353
G052	69.639
G053	38.481
G054	39.207
G055	28.27
G056	24.415
G057	44.409
G058	66.906
G059	63.19
G060	32.652
G061	41.886
G062	22.248
G063	51.608
G064	44.895
G065	26.322
H001	27.259
H002	40.057
H003	51.016
H004	64.132
H005	44.991
H006	28.793
H007	43.46
H008	43.64
H009	23.747
H010	44.296
H011	50.183
H012	65.373
H013	41.565
H014	49.451
H015	20.136
H016	28.519
H017	34.253
