Original_name	Simplified_name
Abies alba	Abies alba
Acer campestre	Acer campestre
Acer monspessulanum 	Acer monspessulanum
Acer opalus	Acer opalus
Acer pseudoplatanus 	Acer pseudoplatanus
Aconitum napellus 	Aconitum napellus
Aconitum vulparia subsp neapolitanum 	Aconitum vulparia
Adenostyles alliariae	Adenostyles alliariae
Aesculus hippocastanum 	Aesculus hippocastanum
Agrimonia eupatoria	Agrimonia eupatoria
Agrostis capillaris 	Agrostis capillaris
Agrostis stolonifera	Agrostis stolonifera
Ajuga reptans	Ajuga reptans
Alliaria petiolata	Alliaria petiolata
Allium oleraceum 	Allium oleraceum
Allium ursinum 	Allium ursinum
Alnus glutinosa	Alnus glutinosa
Anagallis arvensis	Anagallis arvensis
Anemone nemorosa	Anemone nemorosa
Anemone ranunculoides	Anemone ranunculoides
Angelica sylvestris 	Angelica sylvestris
Anthoxanthum odoratum	Anthoxanthum odoratum
Anthriscus sylvestris 	Anthriscus sylvestris
Apium nodiflorum 	Apium nodiflorum
Aquilegia vulgaris	Aquilegia vulgaris
Arctium minus	Arctium minus
Arrhenatherum elatius	Arrhenatherum elatius
Arum italicum 	Arum italicum
Asparagus acutifolius 	Asparagus acutifolius
Asparagus officinalis 	Asparagus officinalis
Asplenium adiantum-nigrum 	Asplenium adiantum-nigrum
Astragalus glycyphyllos	Astragalus glycyphyllos
Astrantia major	Astrantia major
Atriplex patula 	Atriplex patula 
Avena sativa 	Avena sativa 
Bilderdykia convolvulus	Bilderdykia convolvulus
Brachypodium phoenicoides 	Brachypodium phoenicoides 
Brachypodium phoenicoides x rupestre	Brachypodium phoenicoides
Brachypodium phoenicoides x sylvaticum 	Brachypodium phoenicoides 
Brachypodium rupestre	Brachypodium rupestre
Brachypodium rupestre x sylvaticum 	Brachypodium rupestre
Brachypodium sylvaticum	Brachypodium sylvaticum
Briza media	Briza media
Bryonia dioica 	Bryonia dioica 
Bromus ramosus	Bromus ramosus
Bromus sterilis 	Bromus sterilis 
Buxus sempervirens	Buxus sempervirens
Calamintha sylvatica	Calamintha sylvatica
Calystegia sepium 	Calystegia sepium 
Campanula trachelium 	Campanula trachelium 
Cardamine flexuosa	Cardamine flexuosa
Cardamine hirsuta 	Cardamine hirsuta 
Cardamine heptaphylla	Cardamine heptaphylla
Cardamine impatiens	Cardamine impatiens
Cardamine pratensis 	Cardamine pratensis 
Cardamine raphanifolia	Cardamine raphanifolia
Carex cuprina 	Carex cuprina 
Carex divulsa	Carex divulsa
Carex flacca	Carex flacca
Carex pendula	Carex pendula
Carex remota	Carex remota
Carex sempervirens	Carex sempervirens
Carex strigosa	Carex strigosa
Carex sylvatica 	Carex sylvatica 
Centaurea debeauxii	Centaurea debeauxii
Centaurea jacea 	Centaurea jacea 
Centaurea scabiosa	Centaurea scabiosa
Centaurium erythraea	Centaurium erythraea
Cerastium fontanum 	Cerastium fontanum 
Chaerophyllum aureum 	Chaerophyllum aureum 
Chaerophyllum hirsutum 	Chaerophyllum hirsutum 
Chaerophyllum temulum	Chaerophyllum temulum
Chelidonium majus 	Chelidonium majus 
Chenopodium album 	Chenopodium album 
Circaea lutetiana	Circaea lutetiana
Cirsium arvense 	Cirsium arvense 
Cirsium vulgare	Cirsium vulgare
Clematis vitalba	Clematis vitalba
Clinopodium vulgare	Clinopodium vulgare
Conopodium pyrenaeum 	Conopodium pyrenaeum 
Cornus sanguinea	Cornus sanguinea
Coronilla emerus 	Coronilla emerus 
Corylus avellana	Corylus avellana
Crataegus laevigata 	Crataegus laevigata 
Crataegus monogyna	Crataegus monogyna
Crepis lampsanoides	Crepis lampsanoides
Crepis vesicaria	Crepis vesicaria
Crocus nudiflorus 	Crocus nudiflorus 
Cruciata glabra	Cruciata glabra
Cruciata laevipes	Cruciata laevipes
Cucubalus baccifer 	Cucubalus baccifer 
Dactylis glomerata	Dactylis glomerata
Daphne laureola 	Daphne laureola 
Daucus carota 	Daucus carota 
Deschampsia cespitosa	Deschampsia cespitosa
Dryopteris affinis	Dryopteris affinis
Dryopteris dilatata	Dryopteris dilatata
Dryopteris filix-mas	Dryopteris filix-mas
Elymus campestris 	Elymus campestris 
Elymus caninus	Elymus caninus
Elymus repens 	Elymus repens 
Epilobium hirsutum 	Epilobium hirsutum 
Epilobium montanum 	Epilobium montanum 
Epilobium parviflorum 	Epilobium parviflorum 
Epilobium tetragonum 	Epilobium tetragonum 
Epipactis helleborine	Epipactis helleborine
Equisetum arvense	Equisetum arvense
Erica vagans 	Erica vagans 
Euonymus europaeus	Euonymus europaeus
Eupatorium cannabinum 	Eupatorium cannabinum 
Euphorbia amygdaloides	Euphorbia amygdaloides
Euphorbia dulcis	Euphorbia dulcis
Euphorbia peplus	Euphorbia peplus
Fagus sylvatica	Fagus sylvatica
Festuca arundinacea	Festuca arundinacea
Festuca gigantea	Festuca gigantea
Festuca heterophylla 	Festuca heterophylla 
Filipendula ulmaria 	Filipendula ulmaria 
Fragaria vesca	Fragaria vesca
Frangula alnus 	Frangula alnus 
Fraxinus angustifolia 	Fraxinus angustifolia 
Fraxinus angustifolia x excelsior 	Fraxinus angustifolia
Fraxinus excelsior	Fraxinus excelsior
Fritillaria pyrenaica	Fritillaria pyrenaica
Galeopsis angustifolia	Galeopsis angustifolia
Galeopsis tetrahit	Galeopsis tetrahit
Galium aparine	Galium aparine
Galium laevigatum 	Galium laevigatum 
Galium odoratum 	Galium odoratum 
Galium palustre	Galium palustre
Galium cf odoratum 	Galium odoratum 
Galium verum 	Galium verum 
Genista tinctoria 	Genista tinctoria 
Geranium phaeum 	Geranium phaeum 
Geranium lucidum 	Geranium lucidum 
Geranium robertianum	Geranium robertianum
Geum urbanum	Geum urbanum
Glechoma hederacea	Glechoma hederacea
Hedera hibernica	Hedera hibernica
Helianthus tuberosus	Helianthus tuberosus
Helictotrichon cantabricum 	Helictotrichon cantabricum 
Helleborus foetidus	Helleborus foetidus
Helleborus viridis subsp occidentalis	Helleborus viridis
Hepatica nobilis	Hepatica nobilis
Heracleum sphondylium	Heracleum sphondylium
Hesperis matronalis subsp candida	Hesperis matronalis
Hieracium gr. murorum	Hieracium murorum
Holcus lanatus 	Holcus lanatus 
Holcus mollis 	Holcus mollis 
Humulus lupulus	Humulus lupulus
Hypericum hirsutum 	Hypericum hirsutum 
Hypericum perforatum	Hypericum perforatum
Hypericum pulchrum	Hypericum pulchrum
Hypericum tetrapterum 	Hypericum tetrapterum 
Ilex aquifolium 	Ilex aquifolium 
Inula conyza 	Inula conyza 
Iris foetidissima 	Iris foetidissima 
Iris graminea 	Iris graminea 
Iris pseudacorus 	Iris pseudacorus 
Isopyrum thalictroides	Isopyrum thalictroides
Juglans regia 	Juglans regia 
Juncus effusus	Juncus effusus
Juniperus communis 	Juniperus communis 
Knautia arvensis	Knautia arvensis
Knautia arvernensis 	Knautia arvernensis 
Lactuca muralis	Lactuca muralis
Lamium galeobdolon	Lamium galeobdolon
Lamium maculatum 	Lamium maculatum 
Lathraea clandestina	Lathraea clandestina
Lathyrus linifolius	Lathyrus linifolius
Lathyrus niger	Lathyrus niger
Lathyrus occidentalis 	Lathyrus occidentalis 
Lapsana communis	Lapsana communis
Ligustrum ovalifolium 	Ligustrum ovalifolium 
Ligustrum vulgare	Ligustrum vulgare
Lilium martagon 	Lilium martagon 
Lithospermum purpurocaerulem	Lithospermum purpurocaerulem
Lolium perenne	Lolium perenne
Lonicera periclymenum	Lonicera periclymenum
Lonicera xylosteum	Lonicera xylosteum
Luzula forsteri	Luzula forsteri
Luzula sylvatica	Luzula sylvatica
Lycopus europaeus 	Lycopus europaeus 
Lysimachia nemorum 	Lysimachia nemorum 
Lysimachia vulgaris 	Lysimachia vulgaris 
Lythrum salicaria 	Lythrum salicaria 
Malus sylvestris 	Malus sylvestris 
Medicago lupulina	Medicago lupulina
Melica uniflora	Melica uniflora
Melilotus albus	Melilotus albus
Melissa officinalis	Melissa officinalis
Mentha aquatica 	Mentha aquatica 
Mentha longifolia 	Mentha longifolia 
Mentha suaveolens	Mentha suaveolens
Mercurialis perennis	Mercurialis perennis
