Genus	Species	Collection day	Plot ID	Individual Nr	Bulk Nr of leaves	Wet mass [g]	Leaf scan code 1	Dry mass [g]	Leaf scan code 2	LDMC [g/g]	Remark	Bag
Symphytum	tuberosum	20.04.	CAL3	3	3	0.797	B036	0.122		0.153074028		1
Symphytum	tuberosum	20.04.	CAL3	2	5	1.918	B035	0.235		0.122523462		1
Conopodium	pyrenaeum	20.04.	CAL3	4	1	0.269	B032	0.04		0.148698885		1
Conopodium	pyrenaeum	20.04.	CAL3	3	2	0.137	B031	0.022		0.160583942		1
Conopodium	pyrenaeum	20.04.	CAL3	2	1	0.178	B030	0.025		0.140449438		1
Conopodium	pyrenaeum	20.04.	CAL3	1	3	0.429	B029	0.067		0.156177156		1
Scilla	lilio-hyacinthus	20.04.	CAL3	3	4	6.253	B028	0.535		0.085558932		1
Hedera	hibernica	20.04.	CAL3	2	5	0.945	B012	0.376		0.397883598		1
Hedera	hibernica	20.04.	CAL3	3	3	0.637	B011	0.267		0.419152276		1
Lonicera	periclymenum	20.04.	CAL3	1	5	0.263	B010	0.073		0.27756654		1
Lonicera	periclymenum	20.04.	CAL3	2	5	0.26	B009	0.063		0.242307692		1
Lonicera	periclymenum	20.04.	CAL3	3	5	0.293	B008	0.063		0.215017065		1
Euphorbia	dulcis	20.04.	CAL3	1	5	0.122	B007	0.028		0.229508197		1
Euphorbia	dulcis	20.04.	CAL3	2	7	0.108	B006	0.028		0.259259259		1
Euphorbia	dulcis	20.04.	CAL3	3	5	0.115	B005	0.025		0.217391304		1
Filipendula	ulmaria	20.04.	CAL3	1	3	1.836	B004	0.476		0.259259259		1
Filipendula	ulmaria	20.04.	CAL3	2	3	1.226	B003	0.338		0.275693312		1
Filipendula	ulmaria	20.04.	CAL3	3	4	1.465	B002	0.367		0.250511945		1
Filipendula	ulmaria	20.04.	CAL3	4	2	0.651	B001	0.189		0.290322581		1
Isopyrum	thalictroides	18.04.	BEA3	1	2	0.387	A019	0.082		0.211886305		1
Potentilla	sterilis	18.04.	BEA3	2	3	0.306	A018	0.124		0.405228758		1
Arum	italicum	18.04.	BEA3	1	2	1.126	A013	0.194		0.172291297		1
Symphytum	tuberosum	18.04.	BEA3	5	4	1.792	A012	0.24		0.133928571		1
Symphytum	tuberosum	18.04.	BEA3	2	5	1.601	A011	0.241		0.150530918		1
Rosa	canina	20.04.	CAL3	3	5	0.384	B049	0.133		0.346354167		1
Rosa	canina	20.04.	CAL3	2	5	0.44	B048	0.162		0.368181818		1
Rosa	canina	20.04.	CAL3	1	5	0.304	B047	0.111		0.365131579		1
Cardamine	pratensis	20.04.	CAL3	4	1	0.138	B046	0.014		0.101449275		1
Cardamine	pratensis	20.04.	CAL3	3	4	0.531	B045	0.089		0.167608286		1
Cardamine	pratensis	20.04.	CAL3	2	2	0.622	B044	0.097		0.155948553		1
Cardamine	pratensis	20.04.	CAL3	1	3	0.63	B043	0.087		0.138095238		1
Lamium	galeobdolon	20.04.	CAL3	2	5	0.374	B042	0.086		0.229946524		1
Lamium	galeobdolon	20.04.	CAL3	1	4	0.734	B041	0.186		0.253405995		1
Lamium	galeobdolon	20.04.	CAL3	3	5	0.68	B040	0.155		0.227941176		1
Ajuga	reptans	20.04.	CAL3	3	4	1.333	B039	0.348		0.261065266		1
Symphytum	tuberosum	20.04.	CAL3	1	5	1.997	B034	0.236		0.118177266		1
Conopodium	pyrenaeum	20.04.	CAL3	5	1	0.122	B033	0.022		0.180327869		1
Lamium	galeobdolon	21.04.	SE1	1	5	1.125	C018	0.273		0.242666667		1
Ficaria	verna	21.04.	SE1	2	4	0.472	C017	0.066		0.139830508		1
Brachypodium	sylvaticum	21.04.	SE1	1	2	0.114		0.05		0.438596491	too dried up	1
Ficaria	verna	21.04.	SE1	1	5	0.624	C016	0.078		0.125		1
Elymus	caninus	21.04.	SE1	2	4	0.2	C015	0.067		0.335		1
Elymus	caninus	21.04.	SE1	3	4	0.393	C014	0.128		0.325699746		1
Scilla	lilio-hyacinthus	20.04.	CAL3	2	5	8.786	B027	0.668		0.076030048		1
Scilla	lilio-hyacinthus	20.04.	CAL3	1	3	3.805	B026	0.289		0.075952694		1
Conopodium	pyrenaeum	21.04.	SE1	1	2	0.624	C047	0.096		0.153846154		1
Conopodium	pyrenaeum	21.04.	SE1	3	3	1.02	C046	0.175		0.171568627		1
Conopodium	pyrenaeum	21.04.	SE1	2	4	1.42	C045	0.224		0.157746479		1
Narcissus	pseudonarcissus	21.04.	SE1	2	4	2.27	C044	0.368		0.162114537		1
Narcissus	pseudonarcissus	21.04.	SE1	1	5	2.806	C042	0.51	C043	0.181753386		1
Narcissus	pseudonarcissus	21.04.	SE1	3	4	3.517	C040	0.571	C041	0.162354279		1
Lilium	martagon	21.04.	SE1	1	5	2.074	C039	0.297		0.143201543		1
Lilium	martagon	21.04.	SE1	2	5	2.418	C038	0.334		0.138130687		1
Ajuga	reptans	20.04.	CAL3	2	5	0.636	B038	0.112		0.176100629		1
Ajuga	reptans	20.04.	CAL3	1	2	0.977	B037	0.286		0.292732856		1
Ranunculus	auricomus	25.04.	AMA2	6	4	0.505	D001	0.081		0.16039604		1
Ranunculus	auricomus	25.04.	AMA2	5	5	0.801	D002	0.127		0.15855181		1
Ranunculus	auricomus	25.04.	AMA2	4	4	0.513	D003	0.078		0.152046784		1
Ranunculus	auricomus	25.04.	AMA2	3	2	0.454	D004	0.066		0.145374449		1
Ranunculus	auricomus	25.04.	AMA2	2	5	0.562	D005	0.08		0.142348754		1
Ranunculus	auricomus	25.04.	AMA2	1	5	0.727	D006	0.101		0.138927098		1
Ranunculus	tuberosus	26.04.	ABO2	1	5	1.424	D016	0.28		0.196629213		1
Arum	italicum	26.04.	ABO2	1	3	3.655	D021	0.499		0.136525308		1
Arum	italicum	26.04.	ABO2	4	3	2.377	D022	0.335		0.14093395		1
Arum	italicum	26.04.	ABO2	2	3	5.952	D023	0.858		0.144153226		1
Arum	italicum	26.04.	ABO2	3	3	6.744	D024	0.806		0.119513642		1
Arum	italicum	18.04.	BEA3	2	3	1.3	A014	0.239		0.183846154		2
Cardamine	pratensis	21.04.	SE1	1	3	0.354	C013	0.059		0.166666667		2
Ficaria	verna	18.04.	BEA3	2	4	0.762	A015	0.099		0.12992126		2
Lilium	martagon	21.04.	SE1	3	5	2.012	C037	0.307		0.152584493		2
Cardamine	pratensis	21.04.	SE1	2	4	0.321	C012	0.049		0.152647975		2
Cardamine	pratensis	21.04.	SE1	3	4	0.513	C011	0.085		0.165692008		2
Veronica	chamaedrys	21.04.	SE1	1	5	0.134	C010	0.036		0.268656716		2
Veronica	chamaedrys	21.04.	SE1	2	5	0.201	C009	0.055		0.273631841		2
Veronica	chamaedrys	21.04.	SE1	3	4	0.082	C008	0.027		0.329268293		2
Tamus	communis	21.04.	SE1	1	5	1.165	C007	0.205		0.175965665		2
Tamus	communis	21.04.	SE1	2	5	1.82	C006	0.323		0.177472527		2
Tamus	communis	21.04.	SE1	3	5	1.733	C005	0.263		0.151759954		2
