"Original_name","Simplified_name","syn_name"
"Acer opalus","Acer opalus","Acer opalus"
"Apium nodiflorum","Apium nodiflorum","Ciclospermum nodiflorum"
"Apium nodiflorum","Apium nodiflorum","Cyclospermum nodiflorum"
"Arum italicum","Arum italicum","Arum italicum"
"Asparagus acutifolius","Asparagus acutifolius","Asparagus acutifolius"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Bromus phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Festuca phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Poa phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Triticum phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Brachypodium pinnatum subsp. phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Brachypodium cespitosum var. phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Brachypodium pinnatum var. phoenicoides"
"Brachypodium phoenicoides","Brachypodium phoenicoides","Brachypodium ramosum var. phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Bromus phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Festuca phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Poa phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Triticum phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Brachypodium pinnatum subsp. phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Brachypodium cespitosum var. phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Brachypodium pinnatum var. phoenicoides"
"Brachypodium phoenicoides x rupestre","Brachypodium phoenicoides","Brachypodium ramosum var. phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Bromus phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Festuca phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Poa phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Triticum phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Brachypodium pinnatum subsp. phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Brachypodium cespitosum var. phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Brachypodium pinnatum var. phoenicoides"
"Brachypodium phoenicoides x sylvaticum","Brachypodium phoenicoides","Brachypodium ramosum var. phoenicoides"
"Cardamine heptaphylla","Cardamine heptaphylla","Cardamine heptaphylla"
"Cardamine raphanifolia","Cardamine raphanifolia","Cardamine raphanifolia"
"Carex cuprina","Carex cuprina","Carex cuprina"
"Carex sempervirens","Carex sempervirens","Carex sempervirens"
"Centaurea debeauxii","Centaurea debeauxii","Centaurea debauxii"
"Conopodium pyrenaeum","Conopodium pyrenaeum","Conopodium pyrenaeum"
"Crepis lampsanoides","Crepis lampsanoides","Crepis lampsanoides"
"Crocus nudiflorus","Crocus nudiflorus","Crocus nudiflorus"
"Cruciata glabra","Cruciata glabra","Cruciata glabra"
"Cucubalus baccifer","Cucubalus baccifer","Cucubalus baccifer"
"Daphne laureola","Daphne laureola","Daphne laureola"
"Elymus campestris","Elymus campestris","Elymus campestris"
"Erica vagans","Erica vagans","Erica vagans"
"Fritillaria pyrenaica","Fritillaria pyrenaica","Fritillaria pyrenaica"
"Galium laevigatum","Galium laevigatum","Galium laevigatum"
"Hedera hibernica","Hedera hibernica","Hedera helix var. hibernica"
"Helictotrichon cantabricum","Helictotrichon cantabricum","Helictotrichon cantabricum"
"Inula conyza","Inula conyza","Inula conyza"
"Iris foetidissima","Iris foetidissima","Iris foetida"
"Knautia arvernensis","Knautia arvernensis","Knautia arvernensis"
"Lamium galeobdolon","Lamium galeobdolon","Lamiastrum galeobdolon"
