"Simplified_name","acc_name","syn_name"
"Aconitum vulparia","Aconitum lycoctonum ssp. vulparia","Aconitum vulparia"
"Agrostis capillaris",NA,"Agrostis tenuis"
"Agrostis capillaris",NA,"Agrostis tenuis var. aristata"
"Agrostis capillaris",NA,"Agrostis tenuis var. hispida"
"Agrostis capillaris",NA,"Agrostis tenuis var. pumila"
"Agrostis capillaris",NA,"Agrostis vulgaris"
"Agrostis capillaris",NA,"Agrostis sylvatica"
"Agrostis capillaris",NA,"Agrestis polymorpha"
"Agrostis capillaris",NA,"Agrostis capillaris"
"Agrostis capillaris",NA,"Agrostis diffusa"
"Agrostis capillaris",NA,"Agrostis hispida"
"Agrostis capillaris",NA,"Agrostis laxa"
"Agrostis capillaris",NA,"Agrostis lithuanica"
"Agrostis capillaris",NA,"Agrostis polymorpha"
"Agrostis capillaris",NA,"Agrostis pumila"
"Agrostis capillaris",NA,"Agrostis stricta"
"Agrostis capillaris",NA,"Agrostis stricta"
"Agrostis capillaris",NA,"Agrostis stricta"
"Agrostis capillaris",NA,"Agrostis tenella"
"Agrostis capillaris",NA,"Agrostis varians"
"Agrostis capillaris",NA,"Decandolia vulgaris"
"Agrostis capillaris",NA,"Trichodium capillaris"
"Agrostis capillaris",NA,"Trichodium strictum"
"Agrostis capillaris",NA,"Vilfa vulgaris"
"Agrostis capillaris",NA,"Vilfa vulgaris"
"Agrostis capillaris",NA,"Agrostis alba ssp. vulgaris"
"Agrostis capillaris",NA,"Agrostis alba var. aristata"
"Agrostis capillaris",NA,"Agrostis alba var. minor"
"Agrostis capillaris",NA,"Agrostis alba var. silvatica"
"Agrostis capillaris",NA,"Agrostis alba var. stricta"
"Agrostis capillaris",NA,"Agrostis alba var. tenuis"
"Agrostis capillaris",NA,"Agrostis alba var. vulgaris"
"Agrostis capillaris",NA,"Agrostis alba var. vulgaris"
"Agrostis capillaris",NA,"Agrostis alba var. vulgaris"
"Agrostis capillaris",NA,"Agrostis capillaris var. aristata"
"Agrostis capillaris",NA,"Agrostis capillaris var. aristulata"
"Agrostis capillaris",NA,"Agrostis capillaris var. pumila"
"Agrostis capillaris",NA,"Agrostis palustris var. stricta"
"Agrostis capillaris",NA,"Agrostis polymorpha var. capillaris"
"Agrostis capillaris",NA,"Agrostis polymorpha var. pumila"
"Agrostis capillaris",NA,"Agrostis rubra var. pumila"
"Agrostis capillaris",NA,"Agrostis rubra var. tenella"
"Agrostis capillaris",NA,"Agrostis stolonifera var. hispida"
"Agrostis capillaris",NA,"Agrostis stolonifera var. minor"
"Agrostis capillaris",NA,"Agrostis stolonifera var. tenella"
"Agrostis capillaris",NA,"Agrostis stolonifera var. vulgaris"
"Agrostis capillaris",NA,"Agrostis tenuis var. tenuis"
"Agrostis capillaris",NA,"Agrostis vulgaris var. aristata"
"Agrostis capillaris",NA,"Agrostis vulgaris var. aristata"
"Agrostis capillaris",NA,"Agrostis vulgaris var. hispida"
"Agrostis capillaris",NA,"Agrostis vulgaris var. hispida"
"Agrostis capillaris",NA,"Agrostis vulgaris var. pumila"
"Agrostis capillaris",NA,"Agrostis vulgaris var. pumila"
"Agrostis capillaris",NA,"Agrostis vulgaris var. pumila"
"Agrostis capillaris",NA,"Agrostis vulgaris var. tenella"
"Agrostis capillaris",NA,"Vilfa divaricata var. pumila"
"Agrostis capillaris",NA,"Agrostis alba subvar. pumila"
"Agrostis capillaris",NA,"Agrostis alba subvar. pumila"
"Agrostis capillaris",NA,"Agrostis tenuis f. aristata"
"Agrostis stolonifera",NA,"Agrostis palustris"
"Agrostis stolonifera",NA,"Agrostis stolonifera var. compacta"
"Agrostis stolonifera",NA,"Agrostis alba var. stolonifera"
"Agrostis stolonifera",NA,"Agrostis maritima"
"Agrostis stolonifera",NA,"Agrostis adscendens"
"Agrostis stolonifera",NA,"Agrostis albida"
"Agrostis stolonifera",NA,"Agrostis ambigua"
"Agrostis stolonifera",NA,"Agrostis aristulata"
